unique_identifier,inner,outer,degree_rotation_inner,degree_rotation_outer,degree_rotation_total,dataset,correct_angle
000,000_inner.jpg,000_outer.jpg,-171.32,-171.72,-0.4,rotated_synthetic,-0.4
001,001_inner.jpg,001_outer.jpg,3.24,-95.96,-99.2,rotated_synthetic,-99.2
002,002_inner.jpg,002_outer.jpg,-100.0,89.48,189.48,rotated_synthetic,189.48
003,003_inner.jpg,003_outer.jpg,-154.46,15.21,169.67,rotated_synthetic,169.67
004,004_inner.jpg,004_outer.jpg,-165.77,20.9,186.68,rotated_synthetic,186.68
005,005_inner.jpg,005_outer.jpg,-130.5,80.56,211.06,rotated_synthetic,211.06
006,006_inner.jpg,006_outer.jpg,129.98,159.79,29.81,rotated_synthetic,29.81
007,007_inner.jpg,007_outer.jpg,163.67,-129.71,-293.38,rotated_synthetic,-293.38
008,008_inner.jpg,008_outer.jpg,79.19,-161.41,-240.59,rotated_synthetic,-240.59
009,009_inner.jpg,009_outer.jpg,96.36,76.86,-19.5,rotated_synthetic,-19.5
010,010_inner.jpg,010_outer.jpg,70.1,-108.75,-178.85,rotated_synthetic,-178.85
011,011_inner.jpg,011_outer.jpg,75.25,-53.31,-128.56,rotated_synthetic,-128.56
012,012_inner.jpg,012_outer.jpg,-87.68,25.16,112.84,rotated_synthetic,112.84
013,013_inner.jpg,013_outer.jpg,-33.15,3.43,36.59,rotated_synthetic,36.59
014,014_inner.jpg,014_outer.jpg,-75.15,152.98,228.13,rotated_synthetic,228.13
015,015_inner.jpg,015_outer.jpg,-171.63,25.58,197.21,rotated_synthetic,197.21
016,016_inner.jpg,016_outer.jpg,-173.57,-106.78,66.79,rotated_synthetic,66.79
017,017_inner.jpg,017_outer.jpg,51.08,171.39,120.32,rotated_synthetic,120.32
018,018_inner.jpg,018_outer.jpg,48.75,-146.38,-195.13,rotated_synthetic,-195.13
019,019_inner.jpg,019_outer.jpg,140.23,-163.65,-303.88,rotated_synthetic,-303.88
020,020_inner.jpg,020_outer.jpg,20.07,122.01,101.94,rotated_synthetic,101.94
021,021_inner.jpg,021_outer.jpg,132.44,117.35,-15.09,rotated_synthetic,-15.09
022,022_inner.jpg,022_outer.jpg,-74.01,-27.8,46.21,rotated_synthetic,46.21
023,023_inner.jpg,023_outer.jpg,111.93,-95.36,-207.28,rotated_synthetic,-207.28
024,024_inner.jpg,024_outer.jpg,-121.83,-100.1,21.73,rotated_synthetic,21.73
025,025_inner.jpg,025_outer.jpg,-20.38,88.83,109.22,rotated_synthetic,109.22
026,026_inner.jpg,026_outer.jpg,53.53,118.12,64.59,rotated_synthetic,64.59
027,027_inner.jpg,027_outer.jpg,-70.02,31.86,101.88,rotated_synthetic,101.88
028,028_inner.jpg,028_outer.jpg,140.93,-109.51,-250.44,rotated_synthetic,-250.44
029,029_inner.jpg,029_outer.jpg,-81.6,117.06,198.66,rotated_synthetic,198.66
030,030_inner.jpg,030_outer.jpg,43.25,162.01,118.75,rotated_synthetic,118.75
031,031_inner.jpg,031_outer.jpg,-139.74,-40.23,99.51,rotated_synthetic,99.51
032,032_inner.jpg,032_outer.jpg,-72.3,-143.77,-71.47,rotated_synthetic,-71.47
033,033_inner.jpg,033_outer.jpg,-142.55,-78.62,63.93,rotated_synthetic,63.93
034,034_inner.jpg,034_outer.jpg,74.45,118.43,43.98,rotated_synthetic,43.98
035,035_inner.jpg,035_outer.jpg,154.31,-19.76,-174.06,rotated_synthetic,-174.06
036,036_inner.jpg,036_outer.jpg,-16.49,-69.31,-52.83,rotated_synthetic,-52.83
