unique_identifier,inner,outer,degree_rotation_inner,degree_rotation_outer,degree_rotation_total,dataset,correct_angle,angle_class,base_image_id
0,000_inner.jpg,000_outer.jpg,-171.32,-171.72,-0.4,rotated_synthetic,0.4000000000000057,0,0
1,001_inner.jpg,001_outer.jpg,3.24,-95.96,-99.2,rotated_synthetic,99.19999999999999,19,1
2,002_inner.jpg,002_outer.jpg,-100.0,89.48,189.48,rotated_synthetic,170.51999999999998,34,2
3,003_inner.jpg,003_outer.jpg,-154.46,15.21,169.67,rotated_synthetic,190.32999999999998,38,3
4,004_inner.jpg,004_outer.jpg,-165.77,20.9,186.68,rotated_synthetic,173.32999999999998,34,4
5,005_inner.jpg,005_outer.jpg,-130.5,80.56,211.06,rotated_synthetic,148.94,29,5
6,006_inner.jpg,006_outer.jpg,129.98,159.79,29.81,rotated_synthetic,330.19,66,6
7,007_inner.jpg,007_outer.jpg,163.67,-129.71,-293.38,rotated_synthetic,293.38,58,7
8,008_inner.jpg,008_outer.jpg,79.19,-161.41,-240.59,rotated_synthetic,240.6,48,8
9,009_inner.jpg,009_outer.jpg,96.36,76.86,-19.5,rotated_synthetic,19.5,3,9
10,010_inner.jpg,010_outer.jpg,70.1,-108.75,-178.85,rotated_synthetic,178.85,35,10
11,011_inner.jpg,011_outer.jpg,75.25,-53.31,-128.56,rotated_synthetic,128.56,25,11
13,013_inner.jpg,013_outer.jpg,-33.15,3.43,36.59,rotated_synthetic,323.42,64,13
14,014_inner.jpg,014_outer.jpg,-75.15,152.98,228.13,rotated_synthetic,131.87,26,14
15,015_inner.jpg,015_outer.jpg,-171.63,25.58,197.21,rotated_synthetic,162.79000000000002,32,15
18,018_inner.jpg,018_outer.jpg,48.75,-146.38,-195.13,rotated_synthetic,195.13,39,18
19,019_inner.jpg,019_outer.jpg,140.23,-163.65,-303.88,rotated_synthetic,303.88,60,19
20,020_inner.jpg,020_outer.jpg,20.07,122.01,101.94,rotated_synthetic,258.06,51,20
23,023_inner.jpg,023_outer.jpg,111.93,-95.36,-207.28,rotated_synthetic,207.29000000000002,41,23
25,025_inner.jpg,025_outer.jpg,-20.38,88.83,109.22,rotated_synthetic,250.79000000000002,50,25
26,026_inner.jpg,026_outer.jpg,53.53,118.12,64.59,rotated_synthetic,295.40999999999997,59,26
27,027_inner.jpg,027_outer.jpg,-70.02,31.86,101.88,rotated_synthetic,258.12,51,27
28,028_inner.jpg,028_outer.jpg,140.93,-109.51,-250.44,rotated_synthetic,250.44,50,28
33,033_inner.jpg,033_outer.jpg,-142.55,-78.62,63.93,rotated_synthetic,296.07,59,33
35,035_inner.jpg,035_outer.jpg,154.31,-19.76,-174.06,rotated_synthetic,174.07,34,35
36,036_inner.jpg,036_outer.jpg,-16.49,-69.31,-52.83,rotated_synthetic,52.82000000000001,10,36
37,037_inner.jpg,037_outer.jpg,92.53,134.28,41.75,rotated_synthetic,318.25,63,37
